 ,Mean
1,74.465
2,25.306
3,24.534
4,25.764
5,19.647
6,22.294
7,145.903
8,80.169
9,73.052
10,53.241
11,65.235
12,109.860
13,98.366
14,47.888
15,172.668
16,106.496
17,103.926
18,101.435
19,81.206
20,193.891
21,87.003
22,53.796
23,132.353
24,111.088
25,100.397
26,110.422
27,145.727
28,111.471
29,167.056
30,139.172
31,66.819
32,102.642
33,59.579
34,70.316
35,98.427
36,43.114
37,215.467
38,153.907
39,30.086
40,112.482
41,139.170
42,238.976
43,210.114
44,81.147
45,276.244
46,29.564
47,151.971
48,111.648
49,201.496
50,159.228
51,86.901
52,124.212
53,74.558
54,30.297
55,217.170
56,70.008
57,86.021
58,79.821
59,104.389
60,129.249
61,126.893
62,152.743
63,135.615
64,168.281
65,95.968
66,42.216
67,174.929
68,94.507
69,70.367
70,125.190
71,89.595
72,204.622
73,173.956
74,124.651
75,136.415
76,75.488
77,36.191
78,29.604
79,31.002
80,41.177
81,17.136
82,34.089
83,33.295
84,37.046
85,24.864
86,19.849
87,31.357
88,43.163
89,27.393
90,38.794
91,30.025
92,23.196
93,32.593
94,31.466
95,29.131
96,30.929
97,24.732
98,30.731
99,27.006
100,33.647
101,26.959
102,50.436
103,65.996
104,30.014
105,32.171
106,44.347
107,33.933
108,95.124
109,67.054
110,47.453
111,28.378
112,27.567
113,26.292
114,5.885
115,241.127
116,45.417
