 ,Mean
1,32.207
2,23.421
3,17.474
4,14.211
5,15.161
6,21.339
7,22.338
8,56.422
9,35.816
10,36.305
11,22.148
12,17.860
13,19.555
14,45.382
15,105.664
16,17.852
17,53.545
18,31.198
19,35.739
20,55.398
21,49.245
22,23.248
23,31.104
24,63.853
25,44.482
26,59.746
27,46.017
28,36.671
29,85.664
30,50.278
31,42.038
32,22.333
33,33.221
34,45.646
35,20.591
36,20.647
37,20.501
38,16.014
39,30.381
40,42.262
41,50.427
42,27.814
43,31.191
44,27.698
45,21.495
46,41.659
47,36.002
48,36.098
49,39.715
50,58.413
51,40.538
52,37.459
53,30.523
54,50.213
55,24.917
56,31.690
57,17.059
58,21.062
59,25.755
60,72.411
61,17.612
62,31.210
63,37.376
64,39.173
65,51.595
66,32.079
67,39.444
68,57.664
69,123.318
70,53.875
71,39.984
72,38.012
73,45.678
74,54.793
75,32.279
76,30.673
77,28.302
78,31.232
79,36.420
80,25.093
81,33.103
82,38.971
83,29.805
84,25.293
85,16.438
86,12.616
87,15.035
88,15.077
89,14.379
90,15.130
91,14.116
92,13.619
93,12.183
94,15.266
95,14.524
96,20.382
97,15.350
98,30.288
99,58.948
100,34.668
101,27.115
102,17.232
103,16.462
104,14.661
105,17.523
106,16.928
107,13.450
108,19.219
109,15.451
110,19.712
111,12.714
112,11.268
113,13.235
114,17.196
115,14.378
116,15.090
117,17.357
118,19.036
119,48.216
120,5.687
121,138.547
122,15.124
